Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"Federated Unlearning: A Survey on Methods, Design Guidelines, and Evaluation Metrics","Federated unlearning algorithms are needed to efficiently remove specific clients' contributions from machine learning models without full model retraining, preserving privacy and addressing malicious contributions.","Nicolò Romandini, Alessio Mora, Carlo Mazzocca, R. Montanari, Paolo Bellavista",2024,66,"Federated learning (FL) enables collaborative training of a machine learning (ML) model across multiple parties, facilitating the preservation of users' and institutions' privacy by maintaining data stored locally. Instead of centralizing raw data, FL exchanges locally refined model parameters to build a global model incrementally. While FL is more compliant with emerging regulations such as the European General Data Protection Regulation (GDPR), ensuring the right to be forgotten in this context-allowing FL participants to remove their data contributions from the learned model-remains unclear. In addition, it is recognized that malicious clients may inject backdoors into the global model through updates, e.g., to generate mispredictions on specially crafted data examples. Consequently, there is the need for mechanisms that can guarantee individuals the possibility to remove their data and erase malicious contributions even after aggregation, without compromising the already acquired ""good"" knowledge. This highlights the necessity for novel federated unlearning (FU) algorithms, which can efficiently remove specific clients' contributions without full model retraining. This article provides background concepts, empirical evidence, and practical guidelines to design/implement efficient FU schemes. This study includes a detailed analysis of the metrics for evaluating unlearning in FL and presents an in-depth literature review categorizing state-of-the-art FU contributions under a novel taxonomy. Finally, we outline the most relevant and still open technical challenges, by identifying the most promising research directions in the field.",literature review,IEEE Transactions on Neural Networks and Learning Systems,1.0,10.1109/tnnls.2024.3478334,https://consensus.app/papers/federated-unlearning-a-survey-on-methods-design-romandini-mora/d1cd1e4abe33575e8f915c7a00b609f9/
Rethinking machine unlearning for large language models,"Machine unlearning in large language models (LLMs) can create safe, secure, and trustworthy AI without full retraining, preserving essential knowledge and enhancing copyright and privacy safeguards.","Sijia Liu, Yuanshun Yao, Jinghan Jia, Stephen Casper, Nathalie Baracaldo, Peter Hase, Xiaojun Xu, Yuguang Yao, Chris Liu, Hang Li, Kush R. Varshney, Mohit Bansal, Sanmi Koyejo, Yang Liu",2024,256,"We explore machine unlearning in the domain of large language models (LLMs), referred to as LLM unlearning. This initiative aims to eliminate undesirable data influence (for example, sensitive or illegal information) and the associated model capabilities, while maintaining the integrity of essential knowledge generation and not affecting causally unrelated information. We envision LLM unlearning becoming a pivotal element in the life-cycle management of LLMs, potentially standing as an essential foundation for developing generative artificial intelligence that is not only safe, secure and trustworthy but also resource-efficient without the need for full retraining. We navigate the unlearning landscape in LLMs from conceptual formulation, methodologies, metrics and applications. In particular, we highlight the often-overlooked aspects of existing LLM unlearning research, for example, unlearning scope, data–model interaction and multifaceted efficacy assessment. We also draw connections between LLM unlearning and related areas such as model editing, influence functions, model explanation, adversarial training and reinforcement learning. Furthermore, we outline an effective assessment framework for LLM unlearning and explore its applications in copyright and privacy safeguards and sociotechnical harm reduction. Machine unlearning techniques remove undesirable data and associated model capabilities while preserving essential knowledge, so that machine learning models can be updated without costly retraining. Liu et al. review recent advances and opportunities in machine unlearning in LLMs, revisiting methodologies and overlooked principles for future improvements and exploring emerging applications in copyright and privacy safeguards and in reducing sociotechnical harms.",,Nature Machine Intelligence,1.0,10.1038/s42256-025-00985-0,https://consensus.app/papers/rethinking-machine-unlearning-for-large-language-models-liu-yao/d55b550354525d258dd176069152329a/
The Frontier of Data Erasure: A Survey on Machine Unlearning for Large Language Models,"Machine unlearning for large language models effectively addresses privacy, ethical, and legal challenges without requiring full-model retraining, mitigating risk concerns in AI.","Youyang Qu, Ming Ding, Nan Sun, Kanchana Thilakarathna, Tianqing Zhu, Dusist Niyato",2025,14,"This article reviews the latest in machine unlearning for large language models (LLMs), introducing methods for the targeted forgetting of information to address privacy, ethical, and legal challenges without necessitating full-model retraining. Machine unlearning is a cutting-edge solution, mitigating risk concerns of LLMs and artificial intelligence.",,Computer,,10.1109/mc.2024.3405397,https://consensus.app/papers/the-frontier-of-data-erasure-a-survey-on-machine-unlearning-qu-ding/213e292496615021ac004463afbcc9d2/
Digital forgetting in large language models: a survey of unlearning methods,"Digital forgetting in large language models can mitigate risks and improve ethical and legal compliance, but requires a taxonomy and evaluation of unlearning methods.","Alberto Blanco-Justicia, N. Jebreel, Benet Manzanares-Salor, David Sánchez, Josep Domingo-Ferrer, Guillem Collell, Kuan Eeik Tan",2024,53,"Large language models (LLMs) have become the state of the art in natural language processing. The massive adoption of generative LLMs and the capabilities they have shown have prompted public concerns regarding their impact on the labor market, privacy, the use of copyrighted work, and how these models align with human ethics and the rule of law. As a response, new regulations are being pushed, which require developers and service providers to evaluate, monitor, and forestall or at least mitigate the risks posed by their models. One mitigation strategy is digital forgetting: given a model with undesirable knowledge or behavior, the goal is to obtain a new model where the detected issues are no longer present. Digital forgetting is usually enforced via machine unlearning techniques, which modify trained machine learning models for them to behave as models trained on a subset of the original training data. In this work, we describe the motivations and desirable properties of digital forgetting when applied to LLMs, and we survey recent works on machine unlearning. Specifically, we propose a taxonomy of unlearning methods based on the reach and depth of the modifications done on the models, we discuss and compare the effectiveness of machine unlearning methods for LLMs proposed so far, and we survey their evaluation. Finally, we describe open problems of machine unlearning applied to LLMs and we put forward recommendations for developers and practitioners.",,Artificial Intelligence Review,1.0,10.1007/s10462-024-11078-6,https://consensus.app/papers/digital-forgetting-in-large-language-models-a-survey-of-blanco-justicia-jebreel/e92f0227af0853abadfffb2e563c330f/
Fast Yet Effective Machine Unlearning,"Our novel machine unlearning framework efficiently unlearns data from machine learning models without needing to look at the full training data, retaining model accuracy and scalability across large datasets.","A. Tarun, Vikram S Chundawat, Murari Mandal, Mohan Kankanhalli",2021,299,"Unlearning the data observed during the training of a machine learning (ML) model is an important task that can play a pivotal role in fortifying the privacy and security of ML-based applications. This article raises the following questions: 1) can we unlearn a single or multiple class(es) of data from an ML model without looking at the full training data even once? and 2) can we make the process of unlearning fast and scalable to large datasets, and generalize it to different deep networks? We introduce a novel machine unlearning framework with error-maximizing noise generation and impair-repair based weight manipulation that offers an efficient solution to the above questions. An error-maximizing noise matrix is learned for the class to be unlearned using the original model. The noise matrix is used to manipulate the model weights to unlearn the targeted class of data. We introduce impair and repair steps for a controlled manipulation of the network weights. In the impair step, the noise matrix along with a very high learning rate is used to induce sharp unlearning in the model. Thereafter, the repair step is used to regain the overall performance. With very few update steps, we show excellent unlearning while substantially retaining the overall model accuracy. Unlearning multiple classes requires a similar number of update steps as for a single class, making our approach scalable to large problems. Our method is quite efficient in comparison to the existing methods, works for multiclass unlearning, does not put any constraints on the original optimization mechanism or network design, and works well in both small and large-scale vision tasks. This work is an important step toward fast and easy implementation of unlearning in deep networks. Source code: https://github.com/vikram2000b/Fast-Machine-Unlearning.",,IEEE Transactions on Neural Networks and Learning Systems,1.0,10.1109/tnnls.2023.3266233,https://consensus.app/papers/fast-yet-effective-machine-unlearning-tarun-chundawat/1bc1d6c017af5b24a08902a761741a69/
Exploring the Landscape of Machine Unlearning: A Comprehensive Survey and Taxonomy,"Machine unlearning (MU) is crucial for maintaining user trust and adapting machine learning models to changing circumstances, making AI more trustworthy and transparent.","T. Shaik, Xiaohui Tao, Haoran Xie, Lin Li, Xiaofeng Zhu, Qingyuan Li",2023,66,"Machine unlearning (MU) is gaining increasing attention due to the need to remove or modify predictions made by machine learning (ML) models. While training models have become more efficient and accurate, the importance of unlearning previously learned information has become increasingly significant in fields such as privacy, security, and ethics. This article presents a comprehensive survey of MU, covering current state-of-the-art techniques and approaches, including data deletion, perturbation, and model updates. In addition, commonly used metrics and datasets are presented. This article also highlights the challenges that need to be addressed, including attack sophistication, standardization, transferability, interpretability, training data, and resource constraints. The contributions of this article include discussions about the potential benefits of MU and its future directions. Additionally, this article emphasizes the need for researchers and practitioners to continue exploring and refining unlearning techniques to ensure that ML models can adapt to changing circumstances while maintaining user trust. The importance of unlearning is further highlighted in making artificial intelligence (AI) more trustworthy and transparent, especially with the growing importance of AI across various domains that involve large amounts of personal user data.",,IEEE Transactions on Neural Networks and Learning Systems,1.0,10.1109/tnnls.2024.3486109,https://consensus.app/papers/exploring-the-landscape-of-machine-unlearning-a-shaik-tao/7b44cd89644f5521ac77d19c2f265245/
"Threats, Attacks, and Defenses in Machine Unlearning: A Survey","Machine unlearning can achieve Safe AI by removing specific data from trained Machine Learning models, but it faces security and privacy concerns.","Ziyao Liu, Huanyi Ye, Chen Chen, Yongsen Zheng, Kwok-Yan Lam",2024,59,"Machine Unlearning (MU) has recently gained considerable attention due to its potential to achieve Safe AI by removing the influence of specific data from trained Machine Learning (ML) models. This process, known as knowledge removal, addresses AI governance concerns of training data such as quality, sensitivity, copyright restrictions, obsolescence, and compliance with privacy regulations. Efforts have been made to design efficient unlearning approaches, with MU services being examined for integration with existing machine learning as a service (MLaaS), allowing users to submit requests to remove specific data from the training corpus. However, recent research highlights vulnerabilities in machine unlearning systems that can lead to significant security and privacy concerns. Moreover, extensive research indicates that unlearning methods and prevalent attacks fulfill diverse roles within MU systems. This underscores the intricate relationship and complex interplay among these mechanisms in maintaining system functionality and safety. This survey aims to fill the gap between the extensive number of studies on threats, attacks, and defenses in machine unlearning and the absence of a comprehensive review that categorizes their taxonomy, methods, and solutions, thus offering valuable insights for future research directions and practical implementations.",literature review,IEEE Open Journal of the Computer Society,1.0,10.1109/ojcs.2025.3543483,https://consensus.app/papers/threats-attacks-and-defenses-in-machine-unlearning-a-liu-ye/92a26bbb5ed25223ada8e1aeb6548d2e/
Machine unlearning: linear filtration for logit-based classifiers,"This paper proposes an intuitive, computationally efficient method for deleting training data from classification models when individuals retract permission to use their personal data.","Thomas Baumhauer, Pascal Schöttle, M. Zeppelzauer",2020,165,"Recently enacted legislation grants individuals certain rights to decide in what fashion their personal data may be used and in particular a ""right to be forgotten"". This poses a challenge to machine learning: how to proceed when an individual retracts permission to use data which has been part of the training process of a model? From this question emerges the field of, which could be broadly described as the investigation of how to ""delete training data from models"". Our work complements this direction of research for the specific setting of class-wide deletion requests for classification models (e.g. deep neural networks). As a first step, we proposeas an intuitive, computationally efficient sanitization method. Our experiments demonstrate benefits in an adversarial setting over naive deletion schemes.",,Machine Learning,1.0,10.1007/s10994-022-06178-9,https://consensus.app/papers/machine-unlearning-linear-filtration-for-logitbased-baumhauer-schttle/282b12df0eac5b52826b5e10f1462afc/
Update Selective Parameters: Federated Machine Unlearning Based on Model Explanation,"Model explanation-based federated unlearning effectively removes only influential channels from a trained model, preserving performance and avoiding high consumption costs in federated learning scenarios.","Heng Xu, Tianqing Zhu, Lefeng Zhang, Wanlei Zhou, Philip S. Yu",2024,17,"Federated learning is a promising privacy-preserving paradigm for distributed machine learning. In this context, there is sometimes a need for a specialized process called machine unlearning, which is required when the effect of some specific training samples needs to be removed from a learning model due to privacy, security, usability, and/or legislative factors. However, problems arise when current centralized unlearning methods are applied to existing federated learning, in which the server aims to remove all information about a class from the global model. Centralized unlearning usually focuses on simple models or is premised on the ability to access all training data at a central node. However, training data cannot be accessed on the server under the federated learning paradigm, conflicting with the requirements of the centralized unlearning process. Additionally, there are high computation and communication costs associated with accessing clients’ data, especially in scenarios involving numerous clients or complex global models. To address these concerns, we propose a more effective and efficient federated unlearning scheme based on the concept of model explanation. Model explanation involves understanding deep networks and individual channel importance, so that this understanding can be used to determine which model channels are critical for classes that need to be unlearned. We select the most influential channels within an already-trained model for the data that need to be unlearned and fine-tune only influential channels to remove the contribution made by those data. In this way, we can simultaneously avoid huge consumption costs and ensure that the unlearned model maintains good performance. Experiments with different training models on various datasets demonstrate the effectiveness of the proposed approach.",,IEEE Transactions on Big Data,1.0,10.1109/tbdata.2024.3409947,https://consensus.app/papers/update-selective-parameters-federated-machine-xu-zhu/175cecef11e955e895f246bd8b4aec0b/
Efficient federated unlearning under plausible deniability,Federated unlearning in federated learning allows for efficient removal of data from machine learning models while maintaining privacy and reducing memory and retraining time.,"Ayush K. Varshney, Vicencc Torra",2024,7,"Privacy regulations like the GDPR in Europe and the CCPA in the US allow users the right to remove their data from machine learning (ML) applications. Machine unlearning addresses this by modifying the ML parameters in order to forget the influence of a specific data point on its weights. Recent literature has highlighted that the contribution from data point(s) can be forged with some other data points in the dataset with probability close to one. This allows a server to falsely claim unlearning without actually modifying the model’s parameters. However, in distributed paradigms such as federated learning (FL), where the server lacks access to the dataset and the number of clients are limited, claiming unlearning in such cases becomes a challenge. An honest server must modify the model parameters in order to unlearn. This paper introduces an efficient way to achieve machine unlearning in FL, i.e., federated unlearning, by employing a privacy model which allows the FL server to plausibly deny the client’s participation in the training up to a certain extent. Specifically, we demonstrate that the server can generate a Proof-of-Deniability, where each aggregated update can be associated with at least x (the plausible deniability parameter) client updates. This enables the server to plausibly deny a client’s participation. However, in the event of frequent unlearning requests, the server is required to adopt an unlearning strategy and, accordingly, update its model parameters. We also perturb the client updates in a cluster in order to avoid inference from an honest but curious server. We show that the global model satisfies (ϵ,δ)\documentclass[12pt]{minimal} \usepackage{amsmath} \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy} \usepackage{mathrsfs} \usepackage{upgreek} \setlength{\oddsidemargin}{-69pt} \begin{document}$$(\epsilon , \delta )$$\end{document}-differential privacy after T number of communication rounds. The proposed methodology has been evaluated on multiple datasets in different privacy settings. The experimental results show that our framework achieves comparable utility while providing a significant reduction in terms of memory (≈\documentclass[12pt]{minimal} \usepackage{amsmath} \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy} \usepackage{mathrsfs} \usepackage{upgreek} \setlength{\oddsidemargin}{-69pt} \begin{document}$$\approx $$\end{document} 30 times), as well as retraining time (1.6-500769 times). The source code for the paper is available https://github.com/Ayush-Umu/Federated-Unlearning-under-Plausible-Deniability.",,Machine Learning,1.0,10.1007/s10994-024-06685-x,https://consensus.app/papers/efficient-federated-unlearning-under-plausible-varshney-torra/e7e42cdf04055a90acef2c45e6f7460f/
"Machine Unlearning: Taxonomy, Metrics, Applications, Challenges, and Prospects","Machine unlearning (MU) allows machine learning models to eliminate the influence of unlearned data without retraining, ensuring data privacy and addressing challenges in large language models.","Na Li, Chunyi Zhou, Yansong Gao, Hui Chen, Zhi Zhang, Boyu Kuang, Anmin Fu",2025,4,"Personal digital data is a critical asset, and governments worldwide have enforced laws and regulations to protect data privacy. Data users have been endowed with the ""right to be forgotten"" (RTBF) of their data. In the course of machine learning (ML), the forgotten right requires a model provider to delete user data and its subsequent impact on ML models upon user requests. Machine unlearning (MU) emerges to address this, which has garnered ever-increasing attention from both industry and academia. Specifically, MU allows model providers to eliminate the influence of unlearned data without retraining the model from scratch, ensuring the model behaves as if it never encountered this data. While the area has developed rapidly, there is a lack of comprehensive surveys to capture the latest advancements. Recognizing this shortage, we conduct an extensive exploration to map the landscape of MU including the (fine-grained) taxonomy of unlearning algorithms under centralized and distributed settings, debate on approximate unlearning, verification and evaluation metrics, and challenges and solutions across various applications. We also focus on the motivations, challenges, and specific methods for deploying unlearning in large language models (LLMs), as well as the potential attacks targeting unlearning processes. The survey concludes by outlining potential directions for future research, hoping to serve as a beacon for interested scholars.",,IEEE Transactions on Neural Networks and Learning Systems,1.0,10.1109/tnnls.2025.3530988,https://consensus.app/papers/machine-unlearning-taxonomy-metrics-applications-li-zhou/7b54aecdcc8e5749929f51ce3918aed4/
Communication Efficient and Provable Federated Unlearning,"Our new federated unlearning framework, FATS, achieves communication efficiency and provable exact unlearning, improving privacy and accuracy in federated learning.","Youming Tao, Cheng-Long Wang, Miao Pan, Dongxiao Yu, Xiuzhen Cheng, Di Wang",2024,33,"
 We study federated unlearning, a novel problem to eliminate the impact of specific clients or data points on the global model learned via federated learning (FL). This problem is driven by the right to be forgotten and the privacy challenges in FL. We introduce a new framework for exact federated unlearning that meets two essential criteria:
 communication efficiency
 and
 exact unlearning provability.
 To our knowledge, this is the first work to tackle both aspects coherently. We start by giving a rigorous definition of
 exact
 federated unlearning, which guarantees that the unlearned model is statistically indistinguishable from the one trained without the deleted data. We then pinpoint the key property that enables fast exact federated unlearning: total variation (TV) stability, which measures the sensitivity of the model parameters to slight changes in the dataset. Leveraging this insight, we develop a TV-stable FL algorithm called FATS, which modifies the classical FedAvg algorithm for TV Stability and employs local SGD with periodic averaging to lower the communication round. We also design efficient unlearning algorithms for FATS under two settings: client-level and sample-level unlearning. We provide theoretical guarantees for our learning and unlearning algorithms, proving that they achieve exact federated unlearning with reasonable convergence rates for both the original and unlearned models. We empirically validate our framework on 6 benchmark datasets, and show its superiority over state-of-the-art methods in terms of accuracy, communication cost, computation cost, and unlearning efficacy.
",,Proc. VLDB Endow.,1.0,10.48550/arxiv.2401.11018,https://consensus.app/papers/communication-efficient-and-provable-federated-tao-wang/d733d7e8ff5357378ca3b29409299b78/
BlindU: Blind Machine Unlearning Without Revealing Erasing Data,"Blind Unlearning (BlindU) effectively unlearns machine models without revealing erasing data, offering superior privacy protection and unlearning effectiveness compared to existing privacy-preserving unlearning methods.","Weiqi Wang, Zhiyi Tian, Chenhan Zhang, Shui Yu",2026,2,"Machine unlearning enables data holders to remove the contribution of their specified samples from trained models to protect their privacy. However, it is paradoxical that most unlearning methods require the unlearning requesters to first upload their data to the server as a prerequisite for unlearning. These methods are infeasible in many privacy-preserving scenarios where servers are prohibited from accessing users' data, such as federated learning (FL). In this paper, we explore how to implement unlearning under the condition of not uncovering the erasing data to the server. We propose Blind Unlearning (BlindU), which carries out unlearning using compressed representations instead of original inputs. BlindU only involves the server and the unlearning user: the user locally generates privacy-preserving representations, and the server performs unlearning solely on these representations and their labels. For the FL model training, we employ the information bottleneck (IB) mechanism. The encoder of the IB-based FL model learns representations that distort maximum task-irrelevant information from inputs, allowing FL users to generate compressed representations locally. For effective unlearning using compressed representation, BlindU integrates two dedicated unlearning modules tailored explicitly for IB-based models and uses a multiple gradient descent algorithm to balance forgetting and utility retaining. While IB compression already provides protection for task-irrelevant information of inputs, to further enhance the privacy protection, we introduce a noise-free differential privacy (DP) masking method to deal with the raw erasing data before compressing. Theoretical analysis and extensive experimental results illustrate the superiority of BlindU in privacy protection and unlearning effectiveness compared with the best existing privacy-preserving unlearning benchmarks.",,IEEE Transactions on Pattern Analysis and Machine Intelligence,1.0,10.1109/tpami.2026.3654093,https://consensus.app/papers/blindu-blind-machine-unlearning-without-revealing-wang-tian/a313baffc55254a2b345b0b65c5b27ac/
Coded Machine Unlearning,Coded machine unlearning provides a better performance versus unlearning cost trade-off compared to the uncoded baseline.,"Nasser Aldaghri, Hessam Mahdavifar, Ahmad Beirami",2020,48,"There are applications that may require removing the trace of a sample from the system, e.g., a user requests their data to be deleted, or corrupted data is discovered. Simply removing a sample from storage units does not necessarily remove its entire trace since downstream machine learning models may store some information about the samples used to train them. A sample can be perfectly unlearned if we retrain all models that used it from scratch with that sample removed from their training dataset. When multiple such unlearning requests are expected to be served, unlearning by retraining becomes prohibitively expensive. Ensemble learning enables the training data to be split into smaller disjoint shards that are assigned to non-communicating weak learners. Each shard is used to produce a weak model. These models are then aggregated to produce the final central model. This setup introduces an inherent trade-off between performance and unlearning cost, as reducing the shard size reduces the unlearning cost but may cause degradation in performance. In this paper, we propose a coded learning protocol where we utilize linear encoders to encode the training data into shards prior to the learning phase. We also present the corresponding unlearning protocol and show that it satisfies the perfect unlearning criterion. Our experimental results show that the proposed coded machine unlearning provides a better performance versus unlearning cost trade-off compared to the uncoded baseline.",,IEEE Access,1.0,10.1109/access.2021.3090019,https://consensus.app/papers/coded-machine-unlearning-aldaghri-mahdavifar/490a95149a8a55d28f733ecc204e7f7c/
A Review on Machine Unlearning,"Machine unlearning is a privacy-preserving method for machine learning models, addressing security and privacy concerns in machine learning platforms.","Haibo Zhang, Toru Nakamura, Takamasa Isohara, Kouichi Sakurai",2023,88,"Recently, an increasing number of laws have governed the useability of users’ privacy. For example, Article 17 of the General Data Protection Regulation (GDPR), the right to be forgotten , requires machine learning applications to remove a portion of data from a dataset and retrain it if the user makes such a request. Furthermore, from the security perspective, training data for machine learning models, i.e., data that may contain user privacy, should be effectively protected, including appropriate erasure. Therefore, researchers propose various privacy-preserving methods to deal with such issues as machine unlearning. This paper provides an in-depth review of the security and privacy concerns in machine learning models. First, we present how machine learning can use users’ private data in daily life and the role that the GDPR plays in this problem. Then, we introduce the concept of machine unlearning by describing the security threats in machine learning models and how to protect users’ privacy from being violated using machine learning platforms. As the core content of the paper, we introduce and analyze current machine unlearning approaches and several representative results and discuss them in the context of the data lineage. Furthermore, we also discuss the future research challenges in this field.",,SN Computer Science,2.0,10.1007/s42979-023-01767-4,https://consensus.app/papers/a-review-on-machine-unlearning-zhang-nakamura/cb76478230d855f5a925c77d0fd304d0/
Towards Natural Machine Unlearning,"Our method for natural machine unlearning involves injecting correct information into forgetting samples, reducing over-forgetting and improving robustness across different unlearning tasks.","Zhengbao He, Tao Li, Xinwen Cheng, Zhehao Huang, Xiaolin Huang",2024,11,"Machine unlearning (MU) aims to eliminate information that has been learned from specific training data, namely forgetting data, from a pretrained model. Currently, the mainstream of relabeling-based MU methods involves modifying the forgetting data with incorrect labels and subsequently fine-tuning the model. While learning such incorrect information can indeed remove knowledge, the process is quite unnatural as the unlearning process undesirably reinforces the incorrect information and leads to over-forgetting. Towards more natural machine unlearning, we inject correct information from the remaining data to the forgetting samples when changing their labels. Through pairing these adjusted samples with their labels, the model tends to use the injected correct information and naturally suppresses the information meant to be forgotten. Albeit straightforward, such a first step towards natural machine unlearning can significantly outperform current state-of-the-art approaches. In particular, our method substantially reduces the over-forgetting problem and leads to strong robustness across different unlearning tasks, making it a promising candidate for practical machine unlearning.",,IEEE Transactions on Pattern Analysis and Machine Intelligence,1.0,10.1109/tpami.2025.3597350,https://consensus.app/papers/towards-natural-machine-unlearning-he-li/80e148d872d65b1c84bf333ceea883b9/
Federated Unlearning: Guarantee the Right of Clients to Forget,"Federated unlearning, using reverse stochastic gradient ascent and elastic weight consolidation, effectively removes data influence from machine learning models, ensuring the Right to be Forgotten in federated learning.","Leijie Wu, Song Guo, Junxiao Wang, Zicong Hong, J. Zhang, Yaohong Ding",2022,115,"The Right to be Forgotten gives a data owner the right to revoke their data from an entity storing it. In the context of federated learning, the Right to be Forgotten requires that, in addition to the data itself, any influence of the data on the FL model must disappear, a process we call “federated unlearning.” The most straightforward and legitimate way to implement federated unlearning is to remove the revoked data and retrain the FL model from scratch. Yet the computational and time overhead associated with fully retraining FL models can be prohibitively expensive. In this article, we take the first step to comprehensively investigate the way to settle the unlearning paradigm in the context of federated learning. First, we define the problem of efficient federated unlearning, including its challenges and goals, and we identify three common types of federated unlearning requests: class unlearning, client unlearning, and sample unlearning. Based on those challenges and goals, a general pipeline is proposed for federated unlearning for the above three types of requests. We revisit how the training data affects the final FL model performance and thereby empowers the proposed framework with the reverse stochastic gradient ascent (SGA) and elastic weight consolidation (EWC). Various experiments are conducted to verify effectiveness of the proposed method in both aspects of unlearning efficacy and efficiency. We believe the proposed method will perform as an essential component for future machine unlearning systems.",,IEEE Network,1.0,10.1109/mnet.001.2200198,https://consensus.app/papers/federated-unlearning-guarantee-the-right-of-clients-to-wu-guo/9dbbee85a66057de9763f1e633c7de8c/
DP2Unlearning: An Efficient and Guaranteed Unlearning Framework for LLMs,"DP2Unlearning is a novel LLM unlearning framework that offers formal forgetting guarantees at a significantly lower cost than retraining from scratch on retained data, outperforming approximate unlearning methods.","T. Mahmud, N. Jebreel, Josep Domingo-Ferrer, David Sánchez",2025,4,,,Neural networks : the official journal of the International Neural Network Society,1.0,10.1016/j.neunet.2025.107879,https://consensus.app/papers/dp2unlearning-an-efficient-and-guaranteed-unlearning-mahmud-jebreel/c070c98634be5d4facabb3c9ff392671/
How Secure is Forgetting? Linking Machine Unlearning to Machine Learning Attacks,"Machine Unlearning (MU) can help comply with privacy regulations and user requests, but its security against major attack classes like Backdoor, MIA, Adversarial, and Inversion Attacks remains unexplored.","Muhammed Shafi K. P., S. Nicolazzo, Antonino Nocera, V. P.",2025,5,"As Machine Learning (ML) evolves, the complexity and sophistication of security threats against this paradigm continue to grow as well, threatening data privacy and model integrity. In response, Machine Unlearning (MU) is a recent technology that aims to remove the influence of specific data from a trained model, enabling compliance with privacy regulations and user requests. This can be done for privacy compliance (e.g., GDPR's right to be forgotten) or model refinement. However, the intersection between classical threats in ML and MU remains largely unexplored. In this Systematization of Knowledge (SoK), we provide a structured analysis of security threats in ML and their implications for MU. We analyze four major attack classes, namely, Backdoor Attacks, Membership Inference Attacks (MIA), Adversarial Attacks, and Inversion Attacks, we investigate their impact on MU and propose a novel classification based on how they are usually used in this context. Finally, we identify open challenges, including ethical considerations, and explore promising future research directions, paving the way for future research in secure and privacy-preserving Machine Unlearning.",,Neurocomputing,1.0,10.48550/arxiv.2503.20257,https://consensus.app/papers/how-secure-is-forgetting-linking-machine-unlearning-to-p-nicolazzo/1d40b36d9af154478963545b4b680a42/
Learn to Unlearn: Insights Into Machine Unlearning,"Machine unlearning techniques can help machine learning systems integrate privacy, equity, and resilience, enabling them to ""learn to unlearn.""","Youyang Qu, Xinnan Yuan, Ming Ding, Wei Ni, Thierry Rakotoarivelo, David Smith",2024,28,"This article presents a comprehensive review of recent machine unlearning techniques, verification mechanisms, and potential attacks. We highlight emerging challenges and prospective research directions, aiming to provide valuable resources for integrating privacy, equity, and resilience into machine learning systems and help them “learn to unlearn.”",,Computer,,10.1109/mc.2023.3333319,https://consensus.app/papers/learn-to-unlearn-insights-into-machine-unlearning-qu-yuan/7f019e95565f5015a1e09fdc4ed33c79/
Learn to Forget: Machine Unlearning via Neuron Masking,Forsaken is a novel machine unlearning method that achieves over 90% forgetting rate on average and causes less than 5% accuracy loss compared to previous methods.,"Yang Liu, Zhuo Ma, Ximeng Liu, Jian Liu, Zhongyuan Jiang, Jianfeng Ma, P. Yu, K. Ren",2020,88,"Nowadays, machine learning models, especially neural networks, have became prevalent in many real-world applications. These models are trained based on a one-way trip from user data: as long as users contribute their data, there is no way to withdraw. To this end, machine unlearning becomes a popular research topic, which allows the model trainer to unlearn unexpected data from a trained machine learning model. In this article, we propose the first uniform metric called forgetting rate to measure the effectiveness of a machine unlearning method. It is based on the concept of membership inference and describes the transformation rate of the eliminated data from “memorized” to “unknown” after conducting unlearning. We also propose a novel unlearning method called Forsaken. It is superior to previous work in either utility or efficiency (when achieving the same forgetting rate). We benchmark Forsaken with eight standard datasets to evaluate its performance. The experimental results show that it can achieve more than 90% forgetting rate on average and only causeless than 5% accuracy loss.",,IEEE Transactions on Dependable and Secure Computing,1.0,10.1109/tdsc.2022.3194884,https://consensus.app/papers/learn-to-forget-machine-unlearning-via-neuron-masking-liu-ma/f5278cdc8e055dd2ad4449dc979e5e8e/
